training supervised accuracy;		training supervised loss;		training supervised weight;		training unsupervised accuracy;		training unsupervised loss;		training total loss		validation supervised accuracy;		 validation attention accuracy		validation ensemble accuracy;
0.791854		0.528614		0.317255		0.738692		0.020209		0.464031		0.781200		0.705600		0.771600
0.805911		0.528285		0.317255		0.738692		0.018934		0.458559		0.788000		0.705600		0.768000
0.808794		0.531107		0.317255		0.738692		0.018098		0.457428		0.792400		0.705600		0.770000
0.812399		0.534391		0.317255		0.738692		0.018506		0.459497		0.794400		0.705600		0.770400
0.811858		0.531972		0.317255		0.738692		0.018829		0.457750		0.790400		0.705600		0.772400
0.810597		0.525506		0.317255		0.738692		0.019265		0.454040		0.786400		0.705600		0.775600
0.806632		0.521984		0.317258		0.738692		0.020705		0.454043		0.787600		0.705600		0.775200
0.809335		0.519925		0.320445		0.739232		0.021235		0.452194		0.794400		0.710000		0.782400
0.815823		0.521512		0.360657		0.735628		0.020438		0.454280		0.798000		0.705600		0.777600
0.817264		0.524688		0.317321		0.738692		0.020691		0.451591		0.796000		0.705600		0.777200
0.813840		0.522592		0.317256		0.738692		0.020222		0.449125		0.787600		0.705600		0.774800
0.811137		0.522529		0.317256		0.738692		0.020293		0.449084		0.789600		0.705600		0.774000
0.810597		0.523335		0.317261		0.738692		0.020135		0.448401		0.791600		0.705600		0.773600
0.813660		0.523795		0.317273		0.738692		0.019693		0.447104		0.797200		0.705600		0.776800
0.817805		0.524104		0.317273		0.738692		0.019879		0.447339		0.794000		0.705600		0.775600
0.817625		0.521186		0.317273		0.738692		0.020189		0.446003		0.787600		0.705600		0.774400
0.813480		0.519703		0.317273		0.738692		0.020655		0.445641		0.791200		0.705600		0.774400
0.815642		0.519600		0.317273		0.738692		0.020469		0.444256		0.790800		0.705600		0.774400
0.819427		0.521089		0.317273		0.738692		0.020210		0.444133		0.791200		0.712800		0.774400
0.816544		0.520739		0.317274		0.738692		0.020046		0.443584		0.791200		0.712800		0.772800
0.813840		0.520050		0.317276		0.738692		0.020123		0.443296		0.790800		0.712800		0.772400
0.814922		0.519664		0.317308		0.738692		0.020065		0.442446		0.791600		0.712800		0.773200
0.816003		0.519417		0.317490		0.738692		0.020081		0.442027		0.788000		0.712800		0.772000
0.814381		0.517092		0.320984		0.738692		0.020212		0.441464		0.788000		0.712800		0.773600
