training supervised accuracy;		training supervised loss;		training supervised weight;		training unsupervised accuracy;		training unsupervised loss;		training total loss		validation supervised accuracy;		 validation attention accuracy		validation ensemble accuracy;
0.814021		0.486317		0.319901		0.739232		0.021731		0.420272		0.788800		0.714000		0.779600
0.814381		0.486838		0.320466		0.739232		0.021180		0.419340		0.789200		0.714000		0.774000
0.810416		0.489300		0.320106		0.739232		0.020107		0.419125		0.790400		0.714000		0.772400
0.812038		0.494413		0.319583		0.739232		0.018928		0.419927		0.784400		0.714000		0.770800
0.807172		0.493126		0.319335		0.739232		0.018978		0.420277		0.789600		0.714000		0.774400
0.812399		0.490000		0.319345		0.739232		0.019554		0.419219		0.788400		0.714000		0.776400
0.811137		0.486975		0.319510		0.739232		0.020470		0.418920		0.788400		0.714000		0.776000
0.810056		0.485184		0.319697		0.739232		0.020928		0.418559		0.791200		0.714000		0.775600
0.810777		0.487653		0.319809		0.739232		0.020162		0.417817		0.785600		0.714000		0.772800
0.804289		0.488662		0.319880		0.739232		0.019656		0.418536		0.795200		0.714000		0.773600
0.811858		0.492122		0.320015		0.739232		0.019024		0.418870		0.788400		0.714000		0.774400
0.804289		0.488036		0.320255		0.739232		0.019638		0.418957		0.790800		0.714000		0.777600
0.810957		0.487592		0.320475		0.739232		0.019954		0.418006		0.788000		0.714000		0.776400
0.806091		0.484035		0.320462		0.739232		0.020876		0.418597		0.791600		0.714000		0.776000
0.812759		0.490056		0.320222		0.739232		0.020359		0.419487		0.778400		0.714000		0.773600
0.791854		0.490478		0.319986		0.739232		0.021458		0.424553		0.781200		0.714000		0.773200
0.802487		0.507856		0.319942		0.739232		0.021047		0.432268		0.753600		0.714000		0.766800
0.769508		0.501996		0.320178		0.739232		0.022337		0.435735		0.784800		0.714000		0.768800
0.803929		0.506502		0.320785		0.739232		0.019647		0.429245		0.784000		0.714000		0.773600
0.803568		0.487912		0.321804		0.739232		0.019599		0.419774		0.788000		0.714000		0.777200
0.808434		0.481130		0.322377		0.739232		0.021432		0.417277		0.790800		0.714000		0.780400
0.814201		0.489142		0.321304		0.739232		0.022975		0.423549		0.756000		0.714000		0.773600
0.768967		0.496024		0.319954		0.739232		0.027024		0.439976		0.754800		0.714000		0.772000
0.765003		0.541176		0.319237		0.739232		0.026516		0.464397		0.747200		0.714000		0.754400
0.759056		0.527262		0.319067		0.739232		0.018913		0.444357		0.737600		0.714000		0.756000
0.756713		0.524794		0.319608		0.739232		0.019766		0.442467		0.787200		0.714000		0.771600
0.799063		0.508161		0.321489		0.739232		0.019624		0.431737		0.785600		0.714000		0.779200
0.803388		0.487620		0.325108		0.739232		0.024574		0.429354		0.775600		0.714000		0.780000
0.794197		0.483722		0.321937		0.739232		0.032111		0.439946		0.772800		0.714000		0.787200
0.795459		0.512770		0.319080		0.739232		0.031010		0.452160		0.761600		0.714000		0.776400
0.768247		0.511582		0.318153		0.739232		0.024856		0.443849		0.788400		0.714000		0.766400
0.812218		0.533672		0.317863		0.739232		0.017221		0.440822		0.782000		0.714000		0.766000
0.813300		0.531577		0.317820		0.739232		0.018106		0.443241		0.793600		0.714000		0.774800
0.818526		0.488807		0.317946		0.739232		0.021048		0.422667		0.777200		0.714000		0.780000
0.790953		0.478748		0.318316		0.739232		0.033505		0.442074		0.761200		0.714000		0.782400
0.774554		0.527504		0.319015		0.739232		0.040684		0.478413		0.696800		0.714000		0.758000
0.707515		0.528814		0.319685		0.739232		0.038687		0.491844		0.751600		0.714000		0.756400
0.773473		0.551300		0.319797		0.739232		0.018273		0.454741		0.703200		0.714000		0.741200
0.727699		0.588222		0.321435		0.739232		0.020362		0.482943		0.737600		0.714000		0.742800
0.758335		0.578925		0.335605		0.739232		0.016709		0.474270		0.738800		0.714800		0.756800
0.763020		0.547521		0.566203		0.745360		0.007930		0.469268		0.748000		0.714000		0.757200
0.766625		0.508893		0.337819		0.739232		0.020506		0.439044		0.785600		0.714000		0.776800
0.796720		0.484405		0.317407		0.739232		0.028331		0.434957		0.787600		0.714000		0.795600
0.810957		0.495155		0.317372		0.739232		0.035292		0.450396		0.789600		0.714000		0.786000
0.809876		0.477709		0.317332		0.739232		0.038279		0.448173		0.801600		0.714000		0.791600
0.820688		0.488064		0.317322		0.739232		0.029985		0.432462		0.800400		0.714000		0.778800
0.815642		0.488697		0.317320		0.739232		0.023990		0.425464		0.794000		0.714000		0.773600
0.810597		0.503658		0.317318		0.739232		0.020366		0.428527		0.787200		0.714000		0.768800
0.813119		0.515944		0.317320		0.739232		0.018676		0.434110		0.788400		0.714000		0.768400
0.802667		0.511132		0.317320		0.739232		0.018653		0.432863		0.786400		0.714000		0.769600
0.804469		0.500413		0.317324		0.739232		0.019702		0.428153		0.792400		0.714000		0.779600
0.814381		0.493064		0.317353		0.739232		0.021384		0.425492		0.790800		0.714000		0.780400
0.810777		0.484748		0.317362		0.739232		0.023627		0.424864		0.790400		0.714000		0.777600
0.814561		0.484604		0.317372		0.739232		0.024088		0.423782		0.790800		0.714000		0.776400
0.816363		0.486020		0.317347		0.739232		0.023499		0.423284		0.785200		0.714000		0.774400
0.812218		0.488529		0.317313		0.739232		0.022228		0.422633		0.785200		0.714000		0.774000
0.809155		0.493573		0.317291		0.739232		0.020457		0.422509		0.781600		0.714000		0.768400
0.799243		0.495579		0.317345		0.739232		0.019506		0.423019		0.781600		0.714000		0.768400
0.799604		0.496508		0.320238		0.739232		0.018870		0.422559		0.780400		0.714400		0.769200
0.795639		0.495934		0.332325		0.739593		0.018987		0.424474		0.781600		0.714000		0.771200
0.797801		0.495304		0.318857		0.739232		0.019348		0.422581		0.786000		0.714000		0.772800
0.802847		0.493143		0.317714		0.739052		0.019758		0.421682		0.789200		0.714000		0.776000
0.806271		0.491543		0.318409		0.739052		0.019942		0.420609		0.790800		0.713600		0.775600
0.811678		0.491103		0.320173		0.739232		0.019898		0.420130		0.791600		0.713600		0.776400
0.812218		0.490695		0.321769		0.739232		0.019966		0.420071		0.792000		0.713600		0.775200
0.814381		0.490616		0.319997		0.738872		0.020032		0.419523		0.790800		0.713600		0.774400
0.811858		0.489303		0.318412		0.738872		0.020272		0.418854		0.789600		0.713200		0.775200
0.813660		0.488786		0.317823		0.738872		0.020322		0.418293		0.789200		0.713200		0.774800
0.810957		0.488289		0.317608		0.738872		0.020454		0.418246		0.790000		0.712800		0.775600
0.809155		0.487971		0.317521		0.738872		0.020496		0.418118		0.788800		0.712800		0.774400
0.809876		0.487492		0.317491		0.738511		0.020411		0.417638		0.788000		0.712800		0.774800
0.809695		0.486018		0.317501		0.738872		0.020411		0.416957		0.787600		0.712800		0.773200
0.811137		0.485156		0.317549		0.738872		0.020330		0.416297		0.792000		0.712800		0.773200
0.810597		0.484495		0.317664		0.738872		0.020304		0.415940		0.788400		0.712800		0.775600
0.807353		0.482515		0.317896		0.738872		0.020653		0.415856		0.792800		0.712800		0.776800
0.811317		0.483727		0.318349		0.738872		0.020443		0.415528		0.788400		0.712800		0.776000
0.804289		0.481838		0.319038		0.738872		0.020546		0.415725		0.792800		0.712800		0.776400
0.809876		0.484660		0.319653		0.738872		0.019760		0.414923		0.788000		0.712800		0.776400
0.805551		0.483301		0.319435		0.738872		0.019654		0.414866		0.788400		0.714000		0.775600
0.809695		0.483613		0.318999		0.739413		0.019445		0.413942		0.790800		0.714000		0.777200
0.812759		0.481780		0.318722		0.739232		0.019826		0.413702		0.790000		0.714000		0.778400
0.811858		0.479912		0.318621		0.739232		0.020331		0.413316		0.794400		0.714000		0.777600
0.812399		0.480017		0.318641		0.739232		0.020371		0.412981		0.790800		0.714000		0.776400
0.808254		0.479123		0.318741		0.739232		0.020481		0.413129		0.790000		0.714000		0.776800
0.811498		0.482826		0.318918		0.739232		0.019876		0.413536		0.783600		0.714000		0.773200
0.800685		0.481477		0.319162		0.739232		0.020310		0.415277		0.788000		0.714000		0.772800
0.809155		0.487213		0.319488		0.739232		0.020068		0.416779		0.772400		0.714000		0.772800
0.789692		0.483666		0.319848		0.739232		0.021598		0.420454		0.786000		0.714000		0.778800
0.805551		0.495423		0.320205		0.739232		0.021598		0.425022		0.748400		0.714000		0.768800
0.770589		0.493501		0.320436		0.739232		0.023700		0.432458		0.780400		0.714000		0.775600
0.799243		0.507334		0.320589		0.739232		0.021735		0.433476		0.769200		0.714000		0.766800
0.789512		0.491395		0.320692		0.739232		0.019398		0.422044		0.779200		0.714000		0.772800
0.804289		0.481141		0.320927		0.739232		0.019459		0.413070		0.787200		0.714000		0.779200
0.809515		0.483972		0.320991		0.739232		0.023395		0.421228		0.757600		0.714000		0.777600
0.773833		0.485407		0.320448		0.739232		0.028819		0.436302		0.758800		0.714000		0.773600
0.780501		0.525458		0.319719		0.739232		0.028553		0.457605		0.728000		0.714000		0.756800
0.741935		0.522249		0.319235		0.739232		0.021664		0.446872		0.748800		0.714000		0.761200
0.768427		0.521823		0.319243		0.739232		0.018006		0.435977		0.790000		0.714000		0.770400
0.797621		0.504268		0.319833		0.739232		0.019477		0.428627		0.791600		0.714000		0.782000
0.804830		0.480108		0.320967		0.739232		0.025238		0.424314		0.777200		0.714000		0.780800
0.794918		0.477461		0.321148		0.739232		0.033571		0.437545		0.775600		0.714000		0.782000
0.800865		0.503037		0.319671		0.739232		0.031961		0.446981		0.764400		0.714000		0.776000
0.765724		0.506086		0.318628		0.739232		0.024969		0.439820		0.780400		0.714000		0.764400
0.798342		0.524323		0.318222		0.739232		0.017073		0.434487		0.778800		0.714000		0.766000
0.808254		0.521776		0.318159		0.739232		0.018204		0.436981		0.792000		0.714000		0.777600
0.813119		0.479979		0.318322		0.739232		0.020862		0.416356		0.765600		0.714000		0.775200
0.785006		0.474407		0.318674		0.739232		0.032940		0.437603		0.765600		0.714000		0.783600
0.775455		0.517816		0.319018		0.739232		0.039178		0.469283		0.694400		0.714000		0.757200
0.704812		0.525486		0.319066		0.739232		0.037634		0.485158		0.762800		0.714000		0.760000
0.782303		0.541321		0.319009		0.739232		0.017215		0.446310		0.733200		0.714000		0.757600
0.752208		0.579935		0.319586		0.739232		0.021014		0.478486		0.734400		0.714000		0.751200
0.763921		0.576257		0.322091		0.739232		0.019398		0.473929		0.752000		0.714000		0.749200
0.775996		0.547905		0.339582		0.739232		0.014841		0.452593		0.755600		0.714000		0.768400
0.767706		0.504493		0.413435		0.739232		0.016017		0.438752		0.786400		0.714000		0.778400
0.796900		0.470860		0.337652		0.739232		0.029158		0.429054		0.795600		0.714000		0.788800
0.817264		0.469721		0.317265		0.739232		0.035846		0.433351		0.794800		0.714000		0.787200
0.812759		0.464139		0.317260		0.739232		0.035799		0.428845		0.800000		0.714000		0.786400
0.818706		0.469193		0.317255		0.739232		0.028290		0.416532		0.768400		0.714000		0.772400
0.791494		0.486318		0.317255		0.739232		0.023173		0.422225		0.768400		0.712800		0.773600
0.775455		0.526273		0.317255		0.738872		0.023802		0.448702		0.740400		0.712800		0.754800
0.759777		0.519761		0.317255		0.738872		0.018031		0.437496		0.731200		0.705600		0.754800
0.750766		0.522358		0.317255		0.738692		0.019372		0.439782		0.787600		0.705600		0.772000
0.803748		0.497555		0.317255		0.738692		0.019583		0.425375		0.794000		0.705600		0.777600
0.808254		0.481547		0.317255		0.738692		0.022736		0.419408		0.760400		0.705600		0.778800
0.776176		0.484451		0.317255		0.738692		0.030955		0.437544		0.780800		0.705600		0.787200
0.807713		0.490122		0.317255		0.738692		0.028962		0.434847		0.773600		0.705600		0.775600
0.794918		0.477328		0.317255		0.738692		0.024109		0.418963		0.781200		0.705600		0.766000
0.797081		0.482691		0.317255		0.738692		0.019605		0.411726		0.777200		0.709200		0.766000
0.801225		0.495054		0.317256		0.738692		0.019200		0.419625		0.771200		0.712800		0.763600
0.786989		0.491106		0.317321		0.738692		0.018198		0.416958		0.764800		0.712800		0.763200
0.786448		0.484644		0.321466		0.739232		0.019651		0.416330		0.787600		0.714000		0.773600
0.803388		0.478508		0.339173		0.739413		0.021615		0.416245		0.787600		0.713200		0.775200
0.804289		0.473129		0.317467		0.738872		0.022739		0.412639		0.786000		0.713200		0.776800
0.803388		0.472406		0.317293		0.738872		0.023103		0.412326		0.792000		0.713200		0.780800
0.815282		0.475988		0.317286		0.738872		0.021639		0.411027		0.789200		0.712800		0.777200
0.810416		0.479317		0.317303		0.738872		0.019901		0.410745		0.788800		0.712800		0.775600
0.809695		0.482730		0.317338		0.738511		0.019007		0.411718		0.790400		0.712800		0.773600
0.811137		0.481544		0.317364		0.738511		0.019132		0.411523		0.786800		0.712800		0.775600
0.804289		0.476663		0.317400		0.738692		0.019853		0.410457		0.786000		0.712800		0.778000
0.804109		0.473454		0.317475		0.738692		0.020750		0.409700		0.785600		0.712800		0.776800
0.805551		0.472418		0.317539		0.738692		0.021020		0.408894		0.782800		0.712800		0.775200
0.802487		0.471882		0.317602		0.738692		0.020555		0.408059		0.784000		0.712800		0.774400
0.806812		0.474650		0.317636		0.738692		0.019713		0.407807		0.779600		0.712800		0.772800
0.806091		0.475368		0.317686		0.738692		0.019425		0.408318		0.778800		0.712800		0.773600
0.805010		0.473447		0.317749		0.738692		0.019677		0.407769		0.784800		0.712800		0.773600
0.806271		0.471199		0.317871		0.738692		0.020223		0.407204		0.784800		0.712800		0.773200
0.802487		0.469566		0.318178		0.738872		0.020565		0.406969		0.786400		0.712800		0.775200
0.807172		0.470559		0.318988		0.738872		0.020161		0.406248		0.784000		0.712800		0.774800
0.805551		0.471279		0.320800		0.738872		0.019505		0.406038		0.783200		0.714000		0.774400
0.808434		0.472315		0.321778		0.739232		0.019127		0.406068		0.785600		0.714000		0.776800
0.810236		0.471072		0.320006		0.739232		0.019464		0.405909		0.787600		0.714000		0.776800
0.810056		0.469124		0.318779		0.739232		0.020026		0.405429		0.788400		0.714000		0.775200
0.808434		0.468473		0.318256		0.739232		0.020191		0.404937		0.784000		0.714000		0.774000
0.807172		0.468804		0.318042		0.739232		0.019906		0.404587		0.784800		0.714000		0.774800
0.806992		0.470124		0.317976		0.739232		0.019485		0.404452		0.782800		0.714000		0.774400
0.804289		0.469428		0.317999		0.739232		0.019507		0.404538		0.784000		0.714000		0.773200
0.809155		0.468709		0.318101		0.739232		0.019862		0.404326		0.776400		0.714000		0.773200
0.802127		0.466369		0.318298		0.739232		0.020560		0.404869		0.783600		0.714000		0.772000
0.806992		0.470880		0.318620		0.739232		0.020757		0.406736		0.764800		0.714000		0.771600
0.781402		0.474750		0.319093		0.739232		0.022494		0.415681		0.768400		0.714000		0.775600
0.784646		0.502189		0.319751		0.739232		0.024550		0.434377		0.704000		0.714000		0.752000
0.729681		0.508342		0.320484		0.739232		0.025175		0.447014		0.775600		0.714000		0.768400
0.795278		0.503629		0.321382		0.739232		0.017165		0.422695		0.773200		0.714000		0.772400
0.795098		0.501674		0.322687		0.739232		0.020210		0.427315		0.752000		0.714000		0.771600
0.772391		0.484182		0.323202		0.739232		0.024842		0.429588		0.794800		0.714000		0.781200
0.815462		0.467566		0.321716		0.739232		0.022850		0.408986		0.795200		0.714000		0.781600
0.818706		0.463064		0.319879		0.739232		0.023097		0.405611		0.780800		0.714000		0.781600
0.798883		0.468298		0.318818		0.739232		0.024500		0.411882		0.780000		0.714000		0.774000
0.805010		0.481498		0.318305		0.739232		0.023821		0.418615		0.749600		0.714000		0.768000
0.774013		0.481977		0.318064		0.739232		0.022770		0.421673		0.784800		0.714000		0.768800
0.801225		0.478114		0.317978		0.739232		0.019387		0.408913		0.784400		0.714000		0.770400
0.801045		0.469861		0.317998		0.739232		0.020823		0.406826		0.762000		0.714000		0.772800
0.781402		0.467863		0.318116		0.739232		0.026093		0.417681		0.761200		0.714000		0.778000
0.781042		0.505179		0.318349		0.739232		0.030788		0.447723		0.661600		0.714000		0.744400
0.672373		0.544329		0.318725		0.739232		0.036710		0.493394		0.764400		0.714000		0.759200
0.782844		0.533426		0.319344		0.739232		0.017405		0.442137		0.732400		0.714000		0.760800
0.741755		0.561115		0.320985		0.739232		0.024512		0.471960		0.757600		0.714000		0.758400
0.778699		0.530742		0.325005		0.739232		0.016896		0.443775		0.709200		0.714000		0.750400
0.734006		0.527286		0.337954		0.739232		0.021996		0.460606		0.781600		0.714000		0.773200
0.795459		0.491460		0.324320		0.739232		0.023143		0.427979		0.777200		0.714000		0.782400
0.795999		0.504613		0.319268		0.739232		0.030674		0.446353		0.764400		0.714000		0.767200
0.783565		0.505847		0.318113		0.739232		0.023140		0.438754		0.778000		0.714000		0.769200
0.805190		0.512455		0.317804		0.739232		0.019405		0.432166		0.792800		0.714000		0.772400
0.816724		0.515593		0.317713		0.739232		0.020044		0.436995		0.795600		0.714000		0.776000
0.818526		0.507744		0.317713		0.739232		0.021846		0.434604		0.792000		0.714000		0.779200
0.814741		0.494484		0.317779		0.739232		0.022326		0.428593		0.789200		0.714000		0.778400
0.813119		0.487437		0.317923		0.739232		0.024425		0.426221		0.792000		0.714000		0.778400
0.821409		0.488534		0.318196		0.739232		0.026053		0.427459		0.797600		0.714000		0.778000
0.810957		0.487545		0.318683		0.739232		0.021817		0.419983		0.784000		0.714000		0.768400
0.802127		0.496101		0.319593		0.739232		0.019888		0.422733		0.785200		0.714000		0.772400
0.806992		0.496565		0.321317		0.739232		0.019289		0.421941		0.785600		0.714000		0.772800
0.808975		0.493774		0.323716		0.739232		0.020298		0.422570		0.786400		0.714000		0.772400
0.805731		0.487660		0.323778		0.739232		0.020862		0.421177		0.787600		0.714000		0.771600
0.807893		0.483251		0.321417		0.739232		0.021977		0.418789		0.788400		0.714000		0.776400
0.815823		0.483792		0.319556		0.739232		0.022852		0.419367		0.787600		0.714000		0.773600
0.809515		0.483547		0.318621		0.739232		0.021377		0.417651		0.794400		0.714000		0.775200
0.814021		0.485403		0.318210		0.739232		0.020123		0.415782		0.792800		0.714000		0.775600
0.817264		0.488620		0.318043		0.739232		0.019713		0.417259		0.795200		0.714000		0.774400
0.811498		0.488294		0.318010		0.739232		0.019291		0.417430		0.796800		0.714000		0.778000
0.814381		0.485534		0.318093		0.739232		0.019760		0.416186		0.791600		0.714000		0.778400
0.816003		0.483567		0.318313		0.739232		0.020559		0.416049		0.790800		0.714000		0.776800
0.809155		0.482105		0.318730		0.739232		0.020484		0.415459		0.790800		0.714000		0.774400
0.813660		0.482193		0.319433		0.739232		0.020342		0.414443		0.786000		0.714000		0.773200
0.809695		0.482289		0.320333		0.739232		0.019801		0.414002		0.785200		0.714000		0.771200
0.805911		0.482472		0.320975		0.739232		0.019497		0.413780		0.787200		0.714000		0.772800
0.804469		0.482497		0.320849		0.739232		0.019615		0.413807		0.783200		0.714000		0.771200
0.804830		0.481660		0.320150		0.739232		0.019646		0.413598		0.785200		0.714000		0.771600
0.808074		0.480572		0.319467		0.739232		0.019925		0.412920		0.788000		0.714000		0.774800
[test] accuracy: 0.8068, attention accuracy: 0.7336, ensemble accuracy: 0.8176
